PumpTime,StageNumber,FluidDescription,StageDescription,ProppantType,CleanVolume,SlurryVolume,TreatingPressure,CleanRate,SlurryRate,SlurryProppantConcentration,BHProppantConc,BacksidePressure,HydrostaticPressure,TreatmentCleanVolume,ProppantVolume,TreatmentProppantVolume,TreatmentSlurryVolume,TRANSCEND-350W_conc,TRANSCEND-350W_rate,TRANSCEND-350W_totalvol,OPTIKLEEN-WF_conc,OPTIKLEEN-WF_rate,OPTIKLEEN-WF_totalvol,KEMFLOW A-4387_conc,KEMFLOW A-4387_rate,KEMFLOW A-4387_totalvol,MC B-8614_conc,MC B-8614_rate,MC B-8614_totalvol
2021-07-01 10:29:29,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.853895,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:30,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.816623,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:31,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.784071,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:32,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.721653,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:33,1,FR Water,Pad,,0,0,-39.94,0,0,0,0,121.649156,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:34,1,FR Water,Pad,,0,0,-39.82,0,0,0,0,121.653944,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:35,1,FR Water,Pad,,0,0,-40.82,0,0,0,0,121.679796,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:36,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.79503,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:37,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,121.882514,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:38,1,FR Water,Pad,,0,0,-41.2,0,0,0,0,122.058756,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:39,1,FR Water,Pad,,0,0,-39.94,0,0,0,0,122.141574,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:40,1,FR Water,Pad,,0,0,-39.94,0,0,0,0,122.144043,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:41,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,122.113552,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:42,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,122.082696,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:43,1,FR Water,Pad,,0,0,-41.2,0,0,0,0,122.085707,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:44,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,122.18533,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:45,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,122.152805,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:46,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,122.081353,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:47,1,FR Water,Pad,,0,0,-41.25,0,0,0,0,122.035699,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:48,1,FR Water,Pad,,0,0,-41.26,0,0,0,0,122.012587,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:49,1,FR Water,Pad,,0,0,-41.81,0,0,0,0,121.976983,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:50,1,FR Water,Pad,,0,0,-41.69,0,0,0,0,121.972127,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:51,1,FR Water,Pad,,0,0,-23.95,0,0,0,0,121.937771,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:52,1,FR Water,Pad,,0,0,-1.72,0,0,0,0,121.925713,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:53,1,FR Water,Pad,,0,0,99.68,0,0,0,0,121.918511,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:54,1,FR Water,Pad,,0,0,289.7,0,0,0,0,121.820991,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:55,1,FR Water,Pad,,0,0,366.83,0,0,0,0,121.76397,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:56,1,FR Water,Pad,,0,0,394.66,0,0,0,0,121.770033,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:57,1,FR Water,Pad,,0,0,400.09,0,0,0,0,121.760064,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:58,1,FR Water,Pad,,0,0,405.04,0,0,0,0,121.709242,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:29:59,1,FR Water,Pad,,0,0,409.68,0,0,0,0,121.761827,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:00,1,FR Water,Pad,,0,0,414.04,0,0,0,0,121.80447,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:01,1,FR Water,Pad,,0,0,418.13,0,0,0,0,121.817505,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:02,1,FR Water,Pad,,0,0,421.93,0,0,0,0,121.831462,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:03,1,FR Water,Pad,,0,0,425.53,0,0,0,0,121.879245,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:04,1,FR Water,Pad,,0,0,428.88,0,0,0,0,121.90328,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:05,1,FR Water,Pad,,0,0,431.99,0,0,0,0,121.932766,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:06,1,FR Water,Pad,,0,0,434.93,0,0,0,0,121.972453,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:07,1,FR Water,Pad,,0,0,437.68,0,0,0,0,122.036228,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:08,1,FR Water,Pad,,0,0,440.31,0,0,0,0,122.030518,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:09,1,FR Water,Pad,,0,0,443.62,0,0,0,0,121.989583,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:10,1,FR Water,Pad,,0,0,445.15,0,0,0,0,121.949748,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:11,1,FR Water,Pad,,0,0,448.01,0,0,0,0,121.944119,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:12,1,FR Water,Pad,,0,0,450.04,0,0,0,0,122.056342,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:13,1,FR Water,Pad,,0,0,451.34,0,0,0,0,122.059828,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:14,1,FR Water,Pad,,0,0,453.24,0,0,0,0,122.01275,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:15,1,FR Water,Pad,,0,0,455.56,0,0,0,0,121.97324,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:16,1,FR Water,Pad,,0,0,456.64,0,0,0,0,121.980618,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:17,1,FR Water,Pad,,0,0,458.64,0,0,0,0,122.000298,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:18,1,FR Water,Pad,,0,0,460.03,0,0,0,0,122.116075,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:19,1,FR Water,Pad,,0,0,461.36,0,0,0,0,122.053223,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:20,1,FR Water,Pad,,0,0,462.65,0,0,0,0,122.009155,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:21,1,FR Water,Pad,,0,0,463.81,0,0,0,0,121.944187,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:22,1,FR Water,Pad,,0,0,464.9,0,0,0,0,121.818536,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01 10:30:23,1,FR Water,Pad,,0,0,465.77,0,0,0,0,121.768216,3387.913194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
